Day,Day Focus,Order,Exercise,Set Type,Target Sets x Reps,Primary Muscle,Secondary Muscle,Progression Cue,Demo/Tutorial Link,W1 Weight (kg),W1 Reps,W2 Weight (kg),W2 Reps,W3 Weight (kg),W3 Reps,W4 Weight (kg),W4 Reps,Notes
Day 1,Chest & Triceps,1,Flat Barbell Bench Press,Pyramid,4 sets: 12/10/8/6 reps (weight up each set),Chest,Triceps; Front Delts,Add 2.5kg to top set once you hit 6 clean reps,https://www.youtube.com/results?search_query=flat+barbell+bench+press+tutorial,,,,,,,,,Mid chest - main press
Day 1,Chest & Triceps,2,Incline Barbell Press,Normal,4x8-10,Chest,Front Delts; Triceps,Add 2.5kg once 4x10 achieved,https://www.youtube.com/results?search_query=incline+barbell+press+tutorial,,,,,,,,,Upper chest
Day 1,Chest & Triceps,3,Incline DB Press + Push-ups + Dips (Tri-set),Superset (Tri-set),3 rounds: 12 incline DB press / 12 push-ups / 12 dips,Chest; Triceps,Front Delts,Add 1-2kg per DB once all rounds easy at 12/12/12,https://www.youtube.com/results?search_query=incline+db+press+push+ups+dips+tri+set+tutorial,,,,,,,,,Your signature tri-set - upper + lower
Day 1,Chest & Triceps,4,Weighted Dips (Lean Forward),Pyramid,4 sets: 12/10/8/6 reps,Chest,Triceps; Front Delts,Add belt weight once 6 reps clean,https://www.youtube.com/results?search_query=weighted+dips+lean+forward+tutorial,,,,,,,,,Lower chest emphasis
Day 1,Chest & Triceps,5,Decline DB Press,Normal,3x12,Chest,Triceps,Add 2kg once 3x12 achieved,https://www.youtube.com/results?search_query=decline+db+press+tutorial,,,,,,,,,Lower chest
Day 1,Chest & Triceps,6,Low-to-High Cable Fly,Normal,3x15,Chest,Front Delts,Add weight once 3x15 with squeeze,https://www.youtube.com/results?search_query=low+to+high+cable+fly+tutorial,,,,,,,,,Upper chest stretch
Day 1,Chest & Triceps,7,Pec Deck,Normal,3x15,Chest,,Add weight once 3x15,https://www.youtube.com/results?search_query=pec+deck+tutorial,,,,,,,,,Mid chest squeeze
Day 1,Chest & Triceps,8,Close-Grip Bench Press,Pyramid,4 sets: 12/10/8/6 reps,Triceps,Chest,Add 2.5kg to top set at 6 reps,https://www.youtube.com/results?search_query=close+grip+bench+press+tutorial,,,,,,,,,Triceps mass
Day 1,Chest & Triceps,9,Overhead DB Extension + Rope Pushdown (Superset),Superset,3x12 each,Triceps,,Add weight once both hit 12 reps,https://www.youtube.com/results?search_query=overhead+db+extension+rope+pushdown+superset+tutorial,,,,,,,,,Long + lateral head
Day 2,Back & Biceps (Deadlift Day),1,Conventional Deadlift,Pyramid (based on 156kg PR),5 sets: 5/5/3/2/1 reps at approx 60/70/80/85/90% of PR,Back; Hamstrings; Glutes,Traps; Forearms,Log top set; add 2.5-5kg once top single feels like RPE 8 or less,https://www.youtube.com/results?search_query=conventional+deadlift+tutorial,,,,,,,,,PR = 156kg - recalc every 4-6 weeks
Day 2,Back & Biceps (Deadlift Day),2,Pull-ups (Weighted) or Lat Pulldown,Normal,4x8-10,Lats,Biceps; Forearms,Add weight once 4x10 strict,https://www.youtube.com/results?search_query=pull+ups+weighted+or+lat+pulldown+tutorial,,,,,,,,,Lat width
Day 2,Back & Biceps (Deadlift Day),3,Bent-Over Barbell Row,Pyramid,4 sets: 12/10/8/6 reps,Mid-Back; Lats,Biceps; Rear Delts,Add 2.5kg to top set at 6 reps,https://www.youtube.com/results?search_query=bent+over+barbell+row+tutorial,,,,,,,,,Back thickness
Day 2,Back & Biceps (Deadlift Day),4,Seated Cable Row,Normal,4x10,Mid-Back,Lats; Biceps,Add weight once 4x10,https://www.youtube.com/results?search_query=seated+cable+row+tutorial,,,,,,,,,Mid-back
Day 2,Back & Biceps (Deadlift Day),5,Single-Arm DB Row,Normal,3x10 per arm,Lats; Mid-Back,Biceps,Add 2kg once 3x10,https://www.youtube.com/results?search_query=single+arm+db+row+tutorial,,,,,,,,,Unilateral lat
Day 2,Back & Biceps (Deadlift Day),6,Straight-Arm Lat Pulldown,Normal,3x15,Lats,,Add weight once 3x15,https://www.youtube.com/results?search_query=straight+arm+lat+pulldown+tutorial,,,,,,,,,Lat isolation
Day 2,Back & Biceps (Deadlift Day),7,Face Pulls,Normal,3x15,Rear Delts; Mid-Back,,Add weight once 3x15,https://www.youtube.com/results?search_query=face+pulls+tutorial,,,,,,,,,Rear delts + posture
Day 2,Back & Biceps (Deadlift Day),8,Barbell Curl + Hammer Curl (Superset),Superset,3x12 each,Biceps,Forearms,Add 1-2kg once both hit 12,https://www.youtube.com/results?search_query=barbell+curl+hammer+curl+superset+tutorial,,,,,,,,,Biceps + brachialis
Day 2,Back & Biceps (Deadlift Day),9,Incline DB Curl,Normal,3x12,Biceps,,Add weight once 3x12,https://www.youtube.com/results?search_query=incline+db+curl+tutorial,,,,,,,,,Long head stretch
Day 3,Shoulders & Abs,1,Seated Overhead Press (BB or DB),Pyramid,4 sets: 12/10/8/6 reps,Shoulders (Front/Side Delts),Triceps,Add 2.5kg to top set at 6 reps,https://www.youtube.com/results?search_query=seated+overhead+press+bb+or+db+tutorial,,,,,,,,,Main press
Day 3,Shoulders & Abs,2,Arnold Press,Normal,3x10,Front Delts; Side Delts,Triceps,Add 2kg once 3x10,https://www.youtube.com/results?search_query=arnold+press+tutorial,,,,,,,,,Front + side delts
Day 3,Shoulders & Abs,3,Lateral Raise,Normal,4x15,Side Delts,,Add 1kg once 4x15 clean,https://www.youtube.com/results?search_query=lateral+raise+tutorial,,,,,,,,,Side delt width
Day 3,Shoulders & Abs,4,Cable Lateral Raise,Normal,3x15,Side Delts,,Add weight once 3x15,https://www.youtube.com/results?search_query=cable+lateral+raise+tutorial,,,,,,,,,Constant tension
Day 3,Shoulders & Abs,5,Reverse Pec Deck (Rear Delt Fly),Normal,4x15,Rear Delts,Mid-Back,Add weight once 4x15,https://www.youtube.com/results?search_query=reverse+pec+deck+rear+delt+fly+tutorial,,,,,,,,,Rear delts
Day 3,Shoulders & Abs,6,Barbell Shrugs,Normal,4x15,Traps,Forearms,Add weight once 4x15 with a 1-sec squeeze,https://www.youtube.com/results?search_query=barbell+shrugs+tutorial,,,,,,,,,Traps
Day 3,Shoulders & Abs,7,Hanging Leg Raise + Cable Crunch (Superset),Superset,3x15-20 each,Abs,Hip Flexors,Add reps first then weight,https://www.youtube.com/results?search_query=hanging+leg+raise+cable+crunch+superset+tutorial,,,,,,,,,Lower + upper abs
Day 3,Shoulders & Abs,8,Cable Woodchopper,Normal,3x15 per side,Obliques,Abs,Add weight once 3x15 per side,https://www.youtube.com/results?search_query=cable+woodchopper+tutorial,,,,,,,,,Obliques
Day 3,Shoulders & Abs,9,Plank,Normal,3 sets x 45-60 sec hold,Abs; Obliques,,Add 10-15 sec once 60 sec easy,https://www.youtube.com/results?search_query=plank+tutorial,,,,,,,,,Core stability
Day 4,Legs - Quads,1,Barbell Back Squat,Pyramid,5 sets: 12/10/8/6/4 reps,Quads,Glutes; Hamstrings,Log top set; add 2.5-5kg once top set feels like RPE 8 or less,https://www.youtube.com/results?search_query=barbell+back+squat+tutorial,,,,,,,,,Main lift
Day 4,Legs - Quads,2,Hack Squat or Front Squat,Normal,4x10,Quads,Glutes,Add weight once 4x10,https://www.youtube.com/results?search_query=hack+squat+or+front+squat+tutorial,,,,,,,,,Quad emphasis
Day 4,Legs - Quads,3,Leg Press,Normal,4x12,Quads,Glutes,Add weight once 4x12,https://www.youtube.com/results?search_query=leg+press+tutorial,,,,,,,,,Volume
Day 4,Legs - Quads,4,Walking Lunges + Jump Squats (Superset),Superset,3x12 per leg,Quads; Glutes,Hamstrings,Add DB once form and reps solid,https://www.youtube.com/results?search_query=walking+lunges+jump+squats+superset+tutorial,,,,,,,,,Unilateral + power
Day 4,Legs - Quads,5,Bulgarian Split Squat,Normal,3x10 per leg,Quads; Glutes,Hamstrings,Add DB once 3x10 per leg,https://www.youtube.com/results?search_query=bulgarian+split+squat+tutorial,,,,,,,,,Single-leg
Day 4,Legs - Quads,6,Leg Extension,Normal,3x15-20,Quads,,Add weight once 3x20,https://www.youtube.com/results?search_query=leg+extension+tutorial,,,,,,,,,Quad isolation
